Living Situation - Youth,Total,Without Children,With Children and Adults,With Only Children,Unknown Household Type
Homeless Situations,,,,,
"Emergency shelter, including hotel or motel paid for with emergency shelter voucher",14,6,4,4,0
Transitional housing for homeless persons (including homeless youth),0,0,0,0,0
Place not meant for human habitation,8,1,0,7,0
Safe Haven,11,5,1,5,0
Interim Housing,9,6,1,2,0
Subtotal,42,18,6,18,0
Institutional Settings,,,,,
Psychiatric hospital or other psychiatric facility,2,2,0,0,0
Substance abuse treatment facility or detox center,2,0,1,1,0
Hospital or other residential non-psychiatric medical facility,5,2,1,2,0
"Jail, prison, or juvenile detention facility",1,0,1,0,0
Foster care home or foster care group home,0,0,0,0,0
Long-term care facility or nursing home,6,5,0,1,0
Residential project or halfway house with no homeless criteria,1,0,0,1,0
Subtotal,17,9,3,5,0
Other Locations,,,,,
Permanent housing (other than RRH) for formerly homeless persons,2,1,0,1,0
"Owned by client, no ongoing housing subsidy",1,1,0,0,0
"Owned by client, with ongoing housing subsidy",2,0,1,1,0
"Rental by client, no ongoing housing subsidy",8,2,3,3,0
"Rental by client, with VASH subsidy",3,2,0,1,0
Rental by client with GPD TIP subsidy,1,0,0,1,0
Rental by client with other housing subsidy (including RRH),0,0,0,0,0
Hotel or motel paid for without emergency shelter voucher,0,0,0,0,0
"Staying or living in a friend's room, apartment or house",0,0,0,0,0
"Staying or living in a family member's room, apartment or house",0,0,0,0,0
Client Doesn't Know/Client Refused,0,0,0,0,0
Data Not Collected,12,10,0,2,0
Subtotal,29,16,4,9,0
Total,88,43,13,32,0
