Exit Destination Youth,Total,Without Children,With Children and Adults,With Only Children,Unknown Household Type
Permanent Destinations,,,,,
Moved from one HOPWA funded project to HOPWA PH,2,0,0,2,0
"Owned by client, no ongoing housing subsidy",1,1,0,0,0
"Owned by client, with ongoing housing subsidy",2,1,1,0,0
"Rental by client, no ongoing housing subsidy",1,1,0,0,0
"Rental by client, with VASH housing subsidy",1,1,0,0,0
"Rental by client, with GPD TIP housing subsidy",0,0,0,0,0
"Rental by client, with other ongoing housing subsidy",1,0,0,1,0
Permanent housing (other than RRH) for formerly homeless persons,0,0,0,0,0
"Staying or living with family, permanent tenure",0,0,0,0,0
"Staying or living with friends, permanent tenure",0,0,0,0,0
"Rental by client, with RRH or equivalent subsidy",0,0,0,0,0
Subtotal,8,4,1,3,0
Temporary Destinations,,,,,
"Emergency shelter, including hotel or motel paid for with emergency shelter voucher",1,0,0,1,0
Moved from one HOPWA funded project to HOPWA TH,0,0,0,0,0
Transitional housing for homeless persons (including homeless youth),0,0,0,0,0
"Staying or living with family, temporary tenure (e.g. room, apartment or house)",0,0,0,0,0
"Staying or living with friends, temporary tenure (e.g. room, apartment or house)",0,0,0,0,0
"Place not meant for habitation (e.g., a vehicle, an abandoned building, bus/train/subway station/airport or anywhere outside)",0,0,0,0,0
Safe Haven,0,0,0,0,0
Hotel or motel paid for without emergency shelter voucher,0,0,0,0,0
Subtotal,1,0,0,1,0
Institutional Settings,,,,,
Foster care home or group foster care home,0,0,0,0,0
Psychiatric hospital or other psychiatric facility,0,0,0,0,0
Substance abuse treatment facility or detox center,0,0,0,0,0
Hospital or other residential non-psychiatric medical facility,0,0,0,0,0
"Jail, prison, or juvenile detention facility",0,0,0,0,0
Long-term care facility or nursing home,0,0,0,0,0
Subtotal,0,0,0,0,0
Other Destinations,,,,,
Residential project or halfway house with no homeless criteria,0,0,0,0,0
Deceased,0,0,0,0,0
Other,0,0,0,0,0
Client Doesn't Know/Client Refused,0,0,0,0,0
Data Not Collected (no exit interview completed),2,0,0,2,0
Subtotal,2,0,0,2,0
Total,11,4,1,6,0
Total persons exiting to positive housing destinations,8,4,1,3,0
Total persons whose destinations excluded them from the calculation,0,0,0,0,0
Percentage,0.7273,1.0000,1.0000,0.5000,0.0000
